District,Town,Member,Party,Email,Phone,Committees
30,Abbot,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
144,Acton,Jeffrey Sean Adams,R - Lebanon,Jeffrey.Adams@legislature.maine.gov,(207) 457-2054,State and Local Government
11,Addison,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
81,unorganized territory of Albany Township,Peter Conley Wood,R - Norway,Peter.Wood@legislature.maine.gov,(207) 890-3324,Marine Resources
63,Albion,Paul R. Flynn,R - Albion,Paul.Flynn@legislature.maine.gov,(207) 314-5525,"Health Coverage, Insurance and Financial Services"
10,Alexander,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
136,Alfred,John M. Eder,R - Waterboro,John.Eder@legislature.maine.gov,(207) 283-5729,Government Oversight Committee; Housing and Economic Development
1,Allagash,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
47,Alna,Wayne K. Farrin,D - Jefferson,Wayne.Farrin@legislature.maine.gov,(207) 592-9057,Marine Resources; State and Local Government
27,Alton,Gary A. Drinkwater,R - Milford,Gary.Drinkwater@legislature.maine.gov,(207) 356-8198,Labor - Ranking Member
18,Amherst,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
8,Amity,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
73,Andover,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
72,Anson,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
40,Appleton,D. Michael Ray,D - Lincolnville,Michael.Ray@legislature.maine.gov,(207) 930-0371,Transportation
27,unorganized territory of Argyle Township,Gary A. Drinkwater,R - Milford,Gary.Drinkwater@legislature.maine.gov,(207) 356-8198,Labor - Ranking Member
49,Arrowsic,Allison Hepler,D - Woolwich,Allison.Hepler@legislature.maine.gov,(207) 319-4396,"Agriculture, Conservation and Forestry; Marine Resources - Chair"
140,Arundel,Wayne R. Parry,R - Arundel,Wayne.Parry@legislature.maine.gov,(207) 286-9146,Transportation - Ranking Member
1,Ashland,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
72,Athens,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
31,township Atkinson,Chad R. Perkins,R - Dover-Foxcroft,Chad.Perkins@legislature.maine.gov,(207) 279-0927,Criminal Justice and Public Safety; Government Oversight Committee
